ID,Lat,Lon,Label,Target,B2_1,B3_1,B4_1,B8_1,B2_2,B3_2,B4_2,B8_2,B2_3,B3_3,B4_3,B8_3,B2_4,B3_4,B4_4,B8_4,B2_5,B3_5,B4_5,B8_5,B2_6,B3_6,B4_6,B8_6,B2_7,B3_7,B4_7,B8_7,B2_8,B3_8,B4_8,B8_8,B2_9,B3_9,B4_9,B8_9,B2_10,B3_10,B4_10,B8_10,B2_11,B3_11,B4_11,B8_11,B2_12,B3_12,B4_12,B8_12,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,soil_data,distance_from_bottom_left,distance_from_top_right,distance_from_top_left,distance_from_bottom_right,slope,distance_pca,Land_Cover
ID_MXSR6I2SI83T,14.512643,33.513448,1,0,3225.333333333333,3371.6666666666665,3499.333333333333,3750.0,2748.0,2876.0,2906.333333333333,3376.0,5178.4,4956.8,4657.6,5292.8,1463.2,1709.6,1861.2,2811.6,627.5,1010.8333333333334,1221.3333333333333,2526.0,605.5,1038.1666666666667,1277.3333333333333,2503.0,611.8333333333334,1067.3333333333333,1348.6666666666667,2447.6666666666665,754.8333333333334,1225.0,1557.0,2524.6666666666665,1136.8333333333333,1620.3333333333333,1995.6666666666667,2788.333333333333,975.8333333333334,1472.0,1910.0,2882.333333333333,1659.0,2043.3333333333333,2363.333333333333,3109.0,1522.6666666666667,1864.0,2159.333333333333,2705.0,0.0345778922199742,0.0747599087387912,0.0638366296832287,0.2033898305084745,0.3481586906244441,0.3242218499250507,0.2894898586355254,0.2370763576970191,0.1656911928651059,0.2028935104681088,0.1362611926661387,0.1121770711985197,1.0,2469.3355157421565,20.723015966325185,2491.595929495747,2489.084205639897,0.9274099368729608,2447.1738434636045,40
ID-SU-1-137,14.485124053541668,33.38454836996087,1,1,3059.6666666666665,3073.1666666666665,3144.333333333333,3376.6666666666665,4293.5,4197.333333333333,3922.0,4426.0,5515.8,5307.4,5028.4,5574.8,2258.2,2476.6,2210.2,3835.2,487.5,922.6666666666666,885.8333333333334,2487.0,581.8333333333334,991.8333333333334,1205.1666666666667,2572.0,625.8333333333334,1063.8333333333333,1392.0,2658.0,702.5,1137.3333333333333,1457.0,2661.6666666666665,1097.6666666666667,1542.6666666666667,1896.3333333333333,2921.333333333333,991.5,1439.6666666666667,1943.3333333333333,2686.0,2047.0,2268.333333333333,2750.333333333333,3197.0,1250.6666666666667,1532.0,1896.3333333333333,2239.0,0.0356284823391095,0.0603737422137038,0.0515316130979327,0.2687994177391074,0.4747245145031377,0.3618673608966156,0.3125925925925926,0.2924894787957268,0.2127585968311077,0.160426267281106,0.0751036879273623,0.0828631307431888,0.0,2479.732052393665,20.47430471135485,2502.0896652524084,2499.578004061365,2.127599039310136,2463.014671767979,40
ID_6LYQ4OF6LWA3,32.129414,48.189045,2,0,1195.0,1635.5,2220.75,2740.5,1315.25,1797.0,2305.1666666666665,2874.833333333333,868.0,1374.8,1402.5,4147.8,3665.1666666666665,3696.4166666666665,3453.9166666666665,5348.5,2369.8,2662.2,2776.4,3936.7,4484.75,4434.5,4467.333333333333,5071.416666666667,905.2,1316.0,1586.0,2558.2,2748.3,3074.4,3145.1,4538.1,1710.8333333333333,1864.1666666666667,1688.8333333333333,4010.75,1173.7,1323.1,1255.1,3353.8,3144.0,3390.833333333333,3867.6666666666665,4741.166666666667,1742.0,2503.333333333333,3577.333333333333,4606.666666666667,0.1047619047619047,0.10997425997426,0.4946219123290633,0.2152344526597809,0.1728411613114656,0.0633294020006116,0.2345929250518797,0.1813046647230321,0.4073835806711017,0.4553581114799628,0.1014655489516582,0.1257738677093516,1.0,13.053962869025089,2478.969504524245,34.656687977712075,32.410727861758474,1.4348863302417558,-2466.850441023598,40
ID_1MX7EP89RDEM,32.324798,48.14422,2,1,1412.3333333333333,1888.8333333333333,2453.5,2815.6666666666665,1451.6666666666667,1923.8333333333333,2441.333333333333,2776.0,1407.6,1902.6,2441.2,2845.0,2558.583333333333,2876.833333333333,3305.1666666666665,3530.833333333333,2630.9,2962.2,3321.8,3814.6,4895.25,4901.833333333333,4639.333333333333,6081.916666666667,1011.4,1301.5,1109.5,5218.6,2739.0,2876.8,2662.5,5118.9,1483.6666666666667,1877.25,1568.25,5056.25,2378.0,2577.2,2328.4,4913.6,2616.083333333333,2794.1666666666665,3082.5,3866.8333333333335,1321.5,1825.1666666666667,2438.833333333333,3125.0,0.0687331962675944,0.0641451571684129,0.0763875751957928,0.0330115077043105,0.0690544252003811,0.1345536512378066,0.6493418245602945,0.3156758423933996,0.5265303041738999,0.3569732118199393,0.1128645433614735,0.123326243896594,2.0,9.202375978115104,2492.837952058243,36.80261469015813,35.67544936428112,3.416822881475751,-2472.9539094685897,40
ID-SU-0-94,14.268943764619792,33.4325400812225,1,0,3733.3333333333335,3699.6666666666665,3717.3333333333335,3878.6666666666665,6458.333333333333,5968.333333333333,5716.0,5876.333333333333,3183.2,3193.6,3224.4,3483.2,3165.2,3352.4,3434.0,3543.2,1328.6666666666667,1727.6666666666667,2102.6666666666665,2287.0,1294.3333333333333,1676.6666666666667,1975.6666666666667,2258.6666666666665,1267.0,1592.0,2027.6666666666667,2290.5,1298.0,1759.3333333333333,2077.6666666666665,2422.0,1538.0,1929.6666666666667,2317.333333333333,2737.6666666666665,1507.0,1884.3333333333333,2401.6666666666665,2747.6666666666665,2415.0,2794.333333333333,3105.6666666666665,3274.333333333333,1563.0,1842.6666666666667,2152.0,2426.333333333333,0.0212392487274003,0.0138309802455645,0.0385830997674279,0.0156509774694719,0.041992558280811,0.0668346059985829,0.0608668802346674,0.0765241869768131,0.0831519947246949,0.0671931641636457,0.0264367816091954,0.0599199126319621,1.0,2496.617955378068,8.65547470032621,2518.795057358382,2516.283310659623,1.332470280361305,2494.083424021289,50
ID-IR-1-243,31.9842604113105,48.07071707928537,2,1,619.5833333333334,1093.3333333333333,1040.3333333333333,2256.0,626.3333333333334,974.5,847.5,2790.6666666666665,325.4,637.1,407.8,3684.4,2669.083333333333,2721.4166666666665,2669.9166666666665,4129.333333333333,2496.5,2765.3,2945.9,3529.3,1946.5833333333333,2099.75,2222.75,2738.75,831.1,1233.3,1325.3,2684.0,2361.5,2678.9,2739.2,4136.4,1820.5,1982.3333333333333,1783.6666666666667,3720.0,2343.6,2376.0,2320.0,3448.8,3739.9166666666665,3848.5,4052.1666666666665,4397.166666666667,1232.0833333333333,1729.0,2299.333333333333,2673.0,0.3687936090605724,0.534106005772138,0.8006940032256488,0.2146437719846551,0.0900976031628366,0.1040008062078,0.3388870875215125,0.2032113560998312,0.3518260553570346,0.1956732769380114,0.0408316237967493,0.0751491586780183,1.0,30.732673548595542,2459.450830491747,52.37378110653806,49.94375175933804,0.9274099368670312,-2430.631592190912,40
ID-SU-0-56,14.31473111406497,33.278909991289794,1,0,3006.1666666666665,2959.6666666666665,3019.6666666666665,3326.0,4806.166666666667,4660.333333333333,4586.0,5028.333333333333,5417.4,5284.8,5078.4,5652.4,3432.2,3570.0,3808.4,4464.8,720.8333333333334,1219.3333333333333,1869.0,2695.333333333333,734.0,1222.0,1775.6666666666667,2641.6666666666665,718.0,1210.6666666666667,1765.0,2572.0,780.5,1258.0,1797.3333333333333,2603.333333333333,1098.0,1546.0,2054.333333333333,2863.0,941.1666666666666,1418.0,2001.6666666666667,3045.333333333333,2799.833333333333,3028.6666666666665,3319.0,4181.666666666667,1340.1666666666667,1656.3333333333333,2026.6666666666667,2805.0,0.0482744129852393,0.0460076968415213,0.0534908860476385,0.0793405212009863,0.1810414080186957,0.1960458798671898,0.1860733225732072,0.1831540675655204,0.1644522776572667,0.2067895119212733,0.1150119989334281,0.1610900310451879,0.0,2501.787241582555,22.18791211349432,2524.1296029900745,2521.617928435863,6.013220584307793,2495.281656749208,40
ID_4CGTRRHGF8UO,32.345099,48.265043,2,1,1471.8333333333333,1996.0,2662.833333333333,3181.833333333333,1439.0,1919.6666666666667,2534.0,2985.1666666666665,1274.5,1773.0,2362.3,2824.8,2155.9166666666665,2477.0,2749.833333333333,3397.5,2063.5,2339.3,2231.2,4443.5,4317.166666666667,4204.333333333333,3916.8333333333335,5069.833333333333,389.7,593.2,478.8,2684.5,3171.1,3344.4,3527.4,4496.9,1911.6666666666667,2250.4166666666665,2548.083333333333,3648.1666666666665,3101.2,3150.6,3401.6,4169.4,2055.9166666666665,2190.9166666666665,2138.4166666666665,3992.3333333333335,844.1666666666666,1269.5833333333333,1477.5833333333333,3607.6666666666665,0.0887989049846013,0.0817454325834213,0.0891635017639914,0.1053573365144777,0.331445608042309,0.1283011869436201,0.6972781588847089,0.1208205077078374,0.1775401788716293,0.1014132875445779,0.3023963897837405,0.4188748504662176,2.0,13.885718936666134,2501.8795583479546,26.59643827663671,25.91271833197123,2.871937743821921,-2485.146225269241,40
ID_BBHMXJ78E8BM,14.386519,33.358489,1,1,2630.5,2668.0,2772.1666666666665,2842.6666666666665,4440.166666666667,4255.333333333333,4178.5,4287.833333333333,3728.4,3488.9,3282.4,3788.4,1399.8,1479.7,1637.6,1880.5,338.5,547.6666666666666,826.3333333333334,1023.6666666666666,397.9166666666667,637.0,847.5833333333334,1358.0,262.0,547.6666666666666,441.8333333333333,2944.5,264.1666666666667,477.9166666666667,379.5,3353.833333333333,743.25,1062.9166666666667,1178.25,2848.1666666666665,774.0833333333334,1107.25,1618.25,2298.75,2171.25,2243.5,2378.833333333333,2568.833333333333,780.3333333333334,976.1666666666666,1198.8333333333333,1408.6666666666667,0.0125560271898839,0.0129138942478049,0.0715619166148102,0.0690429493192348,0.1066666666666666,0.2314202591906902,0.7390491190077763,0.7966964285714285,0.4147401535691371,0.1737298953280572,0.0384019403085629,0.0804729945669543,2.0,2490.348476580444,15.020166145783197,2512.666184143025,2510.1544919649896,1.3328301870743136,2481.6384195853675,40
ID_PW9RZUON3QMR,32.310514,48.216085,2,1,1150.5833333333333,1550.1666666666667,1952.3333333333333,2516.1666666666665,690.75,1078.0833333333333,847.9166666666666,4177.333333333333,365.8,781.6,410.3,5150.8,2441.9166666666665,2429.0,2338.833333333333,3431.0,2567.4,2861.8,3080.0,3544.7,5312.25,5138.083333333333,4954.916666666667,5634.083333333333,351.1,635.4,539.6,2611.0,2970.8,3126.8,3044.0,4863.4,609.6666666666666,844.9166666666666,656.5,3907.9166666666665,2126.1,2221.9,1904.8,5143.2,2318.25,2477.75,2463.583333333333,4225.833333333333,1135.0833333333333,1522.1666666666667,1964.75,2388.833333333333,0.1261795531684756,0.6625375188630748,0.8524392656129183,0.1892891186920476,0.070146572674989,0.0641388862656215,0.6574620707166889,0.2300882717454536,0.7123400215434612,0.4594778660612939,0.2634385160639318,0.0974101793541718,2.0,8.134897230897664,2495.972888650172,29.866350313808823,28.746807978667743,1.0972760682601792,-2482.007143070989,40
